Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015633+K370.182434	N/A	N/A	N/A
HMDB0015633+K340.1335	0.104295117	0.125685215	N/A
HMDB0015633+K134.0243	N/A	0.081538254	0.096505387
HMDB0015633+K340.1332	0.10344762	0.122502523	N/A
HMDB0015633+K276.1733	N/A	0.106370816	0.126008763
HMDB0015633+K184.0438	0.124712743	0.081521456	0.079808528
HMDB0015633+K163.0521	0.112985427	0.08045966	0.091904652
HMDB0015633+K156.0126	0.090070855	N/A	0.077019024
HMDB0015633+K368.1658	N/A	N/A	N/A
HMDB0015633+K184.0432	0.127079496	0.081521475	0.084690409
HMDB0015633+K_B	0.093588528	N/A	0.089528503
HMDB0015633+K156.0123	0.090118021	N/A	0.077018082
HMDB0015633+K214.0545	N/A	N/A	0.071675859
HMDB0015633+K340.133	0.10290301	0.120313493	N/A
HMDB0015633+K243.051926	N/A	0.092813411	0.080788427
HMDB0015633+K186.0229	N/A	0.089266415	0.081521348
HMDB0015633+K243.0509	N/A	0.103806254	0.081993535
HMDB0015633+K149.0463	N/A	0.106073557	N/A
HMDB0015633+K196.0058	N/A	N/A	N/A
HMDB0015633+K214.0164	N/A	0.081538253	N/A
HMDB0015633+K168.0105	N/A	N/A	N/A
HMDB0015633+K242.0482	0.084916205	N/A	N/A
HMDB0015633+K370.1802	N/A	N/A	0.074238425
HMDB0015633+K112.112	N/A	N/A	N/A
HMDB0015633+K163.0519	0.114963361	0.088841567	0.092135927
HMDB0015633+K122.0362	N/A	0.10808633	0.086179902
HMDB0015633+K368.1642	N/A	N/A	N/A
HMDB0015633+K242.050903	0.08457482	N/A	N/A
HMDB0015633+K156.0124	0.090063615	N/A	0.077018396
HMDB0015633+K243.051834	N/A	0.093342352	0.081312421
HMDB0015633+K244.046692	N/A	N/A	0.081534927
HMDB0015633+K242.559052	0.081538254	0.081529168	0.070619345
HMDB0015633+K370.182068	N/A	N/A	N/A
HMDB0015633+K371.183746	0.088952988	0.079194917	0.086037357
HMDB0015633+K340.1338	0.105355786	0.128715659	N/A
HMDB0015633+K112.11232	N/A	N/A	N/A
HMDB0015633+K214.017258	N/A	0.079786781	N/A
HMDB0015633+K242.050171	0.085070549	N/A	N/A
HMDB0015633+K196.007263	N/A	N/A	N/A
HMDB0015633+K214.017502	N/A	0.078073124	N/A
HMDB0015633+K112.1122	N/A	N/A	N/A
HMDB0015633+K184.0436	0.124680087	0.081521462	0.079352293
HMDB0015633+K242.0485	0.084860119	N/A	N/A
HMDB0015633+K242.0484	0.084878288	N/A	N/A
HMDB0015633+K112.112907	N/A	N/A	N/A
HMDB0015633+K370.1797	N/A	N/A	0.074238425
HMDB0015633+K371.1827	0.090477951	0.08048756	0.085272858
HMDB0015633+K370.181	N/A	N/A	N/A
HMDB0015633+K184.0437	0.124696415	0.081521459	0.079568917
HMDB0015633+K242.048	0.084956389	N/A	N/A
HMDB0015596+K154.0978	N/A	N/A	N/A
HMDB0015596+K107.0855	N/A	N/A	N/A
HMDB0015596+K152.1158	N/A	N/A	N/A
HMDB0015596+K134.105	N/A	N/A	N/A
HMDB0015596+K151.1122	N/A	N/A	N/A
HMDB0015596+K348.140503	N/A	N/A	N/A
HMDB0015596+K95.0492	N/A	N/A	N/A
HMDB0015596+K154.0975	N/A	N/A	N/A
HMDB0015596+K_B	0.112589049	N/A	N/A
HMDB0015596+K304.2021	N/A	N/A	N/A
