Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		159.0821816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na159.079	100	1	1	Linear	TRUE	3	159.0758184		0		TRUE
TRUE	TRUE	0.1	TRUE		186.1086221	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na186.1049	100	1	1	Linear	TRUE	3	186.1011779		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1900237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1851	100	1	1	Linear	TRUE	3	246.1801763		0		TRUE
TRUE	TRUE	0.1	TRUE		264.2012839	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na264.196	100	1	1	Linear	TRUE	3	264.1907161		0		TRUE
TRUE	TRUE	0.1	TRUE		107.051341	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na107.0492	100	1	1	Linear	TRUE	3	107.047059		0		TRUE
TRUE	TRUE	0.1	TRUE		157.0661413	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na157.063	100	1	1	Linear	TRUE	3	157.0598587		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0666613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.064	100	1	1	Linear	TRUE	3	133.0613387		0		TRUE
TRUE	TRUE	0.1	TRUE		131.051321	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na131.0487	100	1	1	Linear	TRUE	3	131.046079		0		TRUE
TRUE	TRUE	0.1	TRUE		141.0720214	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na141.0692	100	1	1	Linear	TRUE	3	141.0663786		0		TRUE
TRUE	TRUE	0.1	TRUE		115.0562011	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na115.0539	100	1	1	Linear	TRUE	3	115.0515989		0		TRUE
TRUE	TRUE	0.1	TRUE		144.0588811	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na144.056	100	1	1	Linear	TRUE	3	144.0531189		0		TRUE
TRUE	TRUE	0.1	TRUE		131.051021	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na131.0484	100	1	1	Linear	TRUE	3	131.045779		0		TRUE
TRUE	TRUE	0.1	TRUE		129.0716814	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na129.0691	100	1	1	Linear	TRUE	3	129.0665186		0		TRUE
TRUE	TRUE	0.1	TRUE		127.0563411	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na127.0538	100	1	1	Linear	TRUE	3	127.0512589		0		TRUE
TRUE	TRUE	0.1	TRUE		121.0662213	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na121.0638	100	1	1	Linear	TRUE	3	121.0613787		0		TRUE
TRUE	TRUE	0.1	TRUE		117.0717414	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na117.0694	100	1	1	Linear	TRUE	3	117.0670586		0		TRUE
